date,duration
7/23/16,17770820
7/24/16,13695759
7/25/16,16590342
7/26/16,16765481
7/27/16,17908698
7/28/16,14262842
7/29/16,15769235
7/30/16,24854106
7/31/16,25472025
8/1/16,20009913
8/2/16,17424367
8/3/16,16588173
8/4/16,15617693
8/5/16,16550333
8/6/16,26833091
8/7/16,23011472
8/8/16,17561117
8/9/16,17183497
8/10/16,16479009
8/11/16,15225968
8/12/16,7909496
8/13/16,22402319
8/14/16,22977552
8/15/16,10811984
8/16/16,16598646
8/17/16,15341735
8/18/16,12453769
8/19/16,17010612
8/20/16,14090070
8/21/16,24587530
8/22/16,17879104
8/23/16,16039016
8/24/16,10461268
8/25/16,13144701
8/26/16,17865077
8/27/16,16585334
8/28/16,21896679
8/29/16,14096747
8/30/16,10201842
8/31/16,13674685
9/1/16,12027292
9/2/16,17287420
9/3/16,25710539
9/4/16,30062529
9/5/16,24410662
9/6/16,13014248
9/7/16,10855904
9/8/16,11082431
9/9/16,11922636
9/10/16,13765078
9/11/16,18906383
9/12/16,14338962
9/13/16,13165895
9/14/16,13311533
9/15/16,14357035
9/16/16,13969340
9/17/16,19863671
9/18/16,21605449
9/19/16,16306970
9/20/16,14641412
9/21/16,8758202
9/22/16,13160570
9/23/16,13135121
9/24/16,19142413
9/25/16,18260770
9/26/16,12063462
9/27/16,11411494
9/28/16,5181491
9/29/16,7176640
9/30/16,7652476
10/1/16,5946909
10/2/16,9915852
10/3/16,10694018
10/4/16,11457103
10/5/16,12055925
10/6/16,5507702
10/7/16,13177082
10/8/16,16106552
10/9/16,16477625
10/10/16,14538893
10/11/16,12646739
10/12/16,5232620
10/13/16,9596996
10/14/16,12420826
10/15/16,12969330
10/16/16,9999567
10/17/16,12981551
10/18/16,11812942
10/19/16,9965435
10/20/16,7391273
10/21/16,7546174
10/22/16,10633889
10/23/16,13739679
10/24/16,8959170
10/25/16,7371913
10/26/16,2832970
10/27/16,6757877
10/28/16,10594869
10/29/16,15958708
10/30/16,7167750
10/31/16,8911346
11/1/16,11677463
11/2/16,5721142
11/3/16,10979176
11/4/16,15127611
11/5/16,16177719
11/6/16,15486088
11/7/16,10208302
11/8/16,6885746
11/9/16,7322620
11/10/16,7738600
11/11/16,5800148
11/12/16,7816385
11/13/16,6597622
11/14/16,6764387
11/15/16,6706340
11/16/16,6917951
11/17/16,8479676
11/18/16,5205834
11/19/16,2121943
11/20/16,1903929
11/21/16,4514592
11/22/16,4159544
11/23/16,2190449
11/24/16,1310436
11/25/16,2288302
11/26/16,3139921
11/27/16,2291092
11/28/16,2884501
11/29/16,6317308
11/30/16,4764943
12/1/16,4215206
12/2/16,4344137
12/3/16,2591374
12/4/16,809938
12/5/16,3436894
12/6/16,3842575
12/7/16,3261375
12/8/16,2477502
12/9/16,2809628
12/10/16,1213538
12/11/16,472740
12/12/16,1903128
12/13/16,1956698
12/14/16,1873271
12/15/16,1273118
12/16/16,1455024
12/17/16,571692
12/18/16,293087
12/19/16,1014093
12/20/16,1820455
12/21/16,2221298
12/22/16,2373960
12/23/16,1448649
12/24/16,674340
12/25/16,259787
12/26/16,1776429
12/27/16,1742924
12/28/16,2525245
12/29/16,1794126
12/30/16,1791223
12/31/16,1578080
1/1/17,1552844
1/2/17,1208564
1/3/17,2872396
1/4/17,1998095
1/5/17,1596175
1/6/17,1375778
1/7/17,906691
1/8/17,799915
1/9/17,2291492
1/10/17,2111982
1/11/17,2214916
1/12/17,1926711
1/13/17,2230493
1/14/17,1479148
1/15/17,1585021
1/16/17,738041
1/17/17,2950948
1/18/17,3536696
1/19/17,2789648
1/20/17,2996702
1/21/17,9026918
1/22/17,2564008
1/23/17,3845842
1/24/17,3613534
1/25/17,3195375
1/26/17,2912044
1/27/17,2701648
1/28/17,1368851
1/29/17,1013234
1/30/17,2839823
1/31/17,3055091
2/1/17,3193203
2/2/17,2522080
2/3/17,2506990
2/4/17,1343179
2/5/17,2177956
2/6/17,4197532
2/7/17,2947136
2/8/17,3046755
2/9/17,2392469
2/10/17,2728958
2/11/17,3460651
2/12/17,2881857
2/13/17,3919106
2/14/17,4576907
2/15/17,3274866
2/16/17,3325725
2/17/17,7589836
2/18/17,18690024
2/19/17,15978954
2/20/17,9676317
2/21/17,6149959
2/22/17,8968536
2/23/17,3859798
2/24/17,3278389
2/25/17,1298623
2/26/17,2867812
2/27/17,5071153
2/28/17,4021374
3/1/17,2823753
3/2/17,3067462
3/3/17,3172508
3/4/17,2348314
3/5/17,4993492
3/6/17,4850005
3/7/17,5801900
3/8/17,4316572
3/9/17,4028465
3/10/17,3141197
3/11/17,1768264
3/12/17,1939170
3/13/17,1458544
3/14/17,1131655
3/15/17,2372691
3/16/17,3188741
3/17/17,3119033
3/18/17,2898258
3/19/17,4516642
3/20/17,4558087
3/21/17,4635808
3/22/17,3334352
3/23/17,3967036
3/24/17,9935034
3/25/17,1186857
3/26/17,3418033
3/27/17,3916556
3/28/17,4166209
3/29/17,3886304
3/30/17,2142655
3/31/17,3262590
4/1/17,8271586
4/2/17,5679754
4/3/17,2992593
4/4/17,5008233
4/5/17,1065859
4/6/17,4025623
4/7/17,6038797
4/8/17,17139300
4/9/17,19175977
4/10/17,5132431
4/11/17,6564184
4/12/17,7663871
4/13/17,4862584
4/14/17,9067427
4/15/17,27683915
4/16/17,14975890
4/17/17,10302485
4/18/17,11945498
4/19/17,5885001
4/20/17,10005544
4/21/17,7037470
4/22/17,9536513
